name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
The Physiology Coloring Book,Wynn Kapit,1,4.0,22.61,$,37.95,9780321036636,1,dataset/Medical/0000232.jpg
Period Repair Manual,Lara Briden,1,4.5,14.63,$,17.0,9780648352402,1,dataset/Medical/0000233.jpg
The Original Reiki Handbook of Dr. Mikao Usui,Mikao Usui,1,4.5,11.79,$,18.0,9780914955573,1,dataset/Medical/0000235.jpg
The Sick Rose,Richard Barnett,2,4.5,21.08,$,24.0,9780500517345,1,dataset/Medical/0000236.jpg
The Sports Gene,David Epstein,1,4.0,12.61,$,18.0,9781617230127,1,dataset/Medical/0000237.jpg
The Web That Has No Weaver,Ted J. Kaptchuk,1,4.0,20.2,$,23.95,9780809228409,1,dataset/Medical/0000238.jpg
The Feeling Good Handbook,David D. Burns,1,4.0,13.26,$,16.0,9780452281325,1,dataset/Medical/0000240.jpg
NeuroTribes,Steve Silberman,1,4.5,12.5,$,18.0,9781760113643,1,dataset/Medical/0000241.jpg
Listening to the Animals: Becoming The Supervet,Noel Fitzpatrick,1,4.5,7.44,$,10.3,9781409183761,1,dataset/Medical/0000242.jpg
"The Anxiety and Phobia Workbook, 6th Edition",Edmund J. Bourne,1,4.0,18.26,$,23.0,9781626252158,1,dataset/Medical/0000243.jpg
Ivy and the Inky Butterfly,Johanna Basford,1,4.5,14.94,$,17.0,9780753545652,1,dataset/Medical/0000245.jpg
Stiff,Mary Roach,1,4.0,9.66,$,12.4,9780141007458,1,dataset/Medical/0000246.jpg
The Mindful Therapist,Daniel J. Siegel,2,4.0,26.19,$,30.9,9780393706451,1,dataset/Medical/0000247.jpg
Healing Stories for Challenging Behaviour,Susan Perrow,1,4.5,19.64,$,29.9,9781903458785,1,dataset/Medical/0000248.jpg
Clean,Alejandro Junger,1,4.0,10.02,$,13.9,9780062201669,1,dataset/Medical/0000249.jpg
Cognitive Behavioural Therapy For Dummies,Rhena Branch,1,4.0,16.56,$,19.2,9780470665411,1,dataset/Medical/0000250.jpg
The Diabetes Code,Dr. Jason Fung,1,4.5,14.73,$,19.1,9781771642651,1,dataset/Medical/0000251.jpg
The Skincare Bible,Dr Anjali Mahto,1,4.0,14.63,$,18.0,9780241309100,1,dataset/Medical/0000253.jpg
"Psychoanalytic Diagnosis, Second Edition",Nancy McWilliams,2,4.5,44.17,$,58.5,9781609184940,1,dataset/Medical/0000254.jpg
"I'm Ok, You're Ok",Thomas A. Harris,1,3.5,9.18,$,11.4,9780099557555,1,dataset/Medical/0000255.jpg
The Wisdom of Menopause,Christiane Northrup,1,4.0,19.43,$,24.2,9780553386721,1,dataset/Medical/0000257.jpg
The Emperor of All Maladies,Siddhartha Mukherjee,1,4.5,14.79,$,20.1,9781439170915,1,dataset/Medical/0000258.jpg
Period Power,Maisie Hill,1,4.0,13.77,$,16.0,9781472963611,1,dataset/Medical/0000259.jpg
French Women Don't Get Fat,Mireille Guiliano,1,3.5,10.23,$,12.4,9780099481324,1,dataset/Medical/0000260.jpg
The Pioppi Diet,Dr. Aseem Malhotra,1,4.0,8.09,$,11.4,9781405932639,1,dataset/Medical/0000261.jpg
The Language of Kindness,Christie Watson,1,4.0,9.43,$,11.4,9781784706883,1,dataset/Medical/0000263.jpg
Seeing Voices,Oliver Sacks,1,4.0,5.44,$,12.4,9780330523646,1,dataset/Medical/0000264.jpg
Exploring Feelings,Tony Attwood,1,4.0,17.64,$,20.1,9781932565225,1,dataset/Medical/0000265.jpg
The Stress Solution,Dr Rangan Chatterjee,1,4.5,18.72,$,20.4,9780241317945,1,dataset/Medical/0000266.jpg
The Healing Code,Alexander Loyd,1,4.0,13.56,$,17.0,9781455502004,1,dataset/Medical/0000267.jpg
In Defense of Food,Michael Pollan,1,4.0,11.48,$,17.0,9780143114963,1,dataset/Medical/0000268.jpg
